date,cycle_number,valley_chg,peak_dhg,flat_chg,peak2_dhg
7/18/21,842,215,184,225,43
7/19/21,844,79,181,227,150
7/20/21,846,215,182,225,149
7/23/21,848,215,183,225,149
7/24/21,850,215,183,226,149
7/25/21,852,215,183,227,42
7/26/21,854,81,180,227,151
7/27/21,856,214,182,226,149
7/28/21,858,214,182,227,148
7/29/21,860,215,182,226,150
7/30/21,862,215,183,225,150
7/31/21,864,215,183,225,149
8/1/21,866,216,183,227,44
8/2/21,868,82,180,226,149
8/3/21,870,215,183,224,148
8/4/21,872,215,183,228,151
8/5/21,874,215,183,226,150
8/6/21,876,214,182,226,149
8/7/21,878,215,183,227,148
8/8/21,880,215,183,225,54
8/9/21,882,98,179,226,149
8/10/21,884,214,183,225,149
8/11/21,886,215,182,228,148
8/12/21,888,214,181,225,149
8/13/21,890,214,181,224,150
8/14/21,892,213,181,225,149
8/15/21,894,212,181,227,42
8/16/21,896,81,176,225,149
8/17/21,898,213,182,226,146
8/18/21,900,213,182,227,149
8/19/21,902,213,181,226,151
8/20/21,904,214,181,225,150
8/21/21,906,214,182,225,149
8/22/21,908,214,182,227,63
8/23/21,910,116,180,225,150
8/24/21,912,214,182,225,150
8/25/21,914,213,182,225,149
8/26/21,916,213,181,222,149
8/27/21,918,214,182,224,149
8/28/21,920,213,181,226,149
8/29/21,922,214,182,406,-7
8/31/21,924,213,180,226,150
9/1/21,926,215,182,210,180
9/2/21,928,214,182,207,178
9/3/21,930,213,182,207,177
9/4/21,932,214,181,208,179
9/5/21,934,214,182,210,74
9/6/21,936,92,178,206,178
9/7/21,938,213,181,206,178
9/8/21,940,213,181,207,177
9/9/21,942,213,182,208,179
9/10/21,944,214,182,208,179
9/11/21,946,212,181,208,179
9/12/21,948,213,181,207,148
9/13/21,950,179,180,206,178
9/14/21,952,213,180,206,177
9/15/21,954,213,181,207,178
9/16/21,956,212,180,206,177
9/17/21,958,212,180,206,178
9/18/21,960,212,180,207,177
9/19/21,962,212,180,208,178
9/20/21,964,212,180,206,109
9/21/21,964,133,0,1,105
9/22/21,966,125,174,203,177
9/23/21,968,212,179,207,178
9/24/21,970,212,179,207,178
9/25/21,972,213,80,88,140
9/26/21,974,171,178,206,178
9/28/21,976,28,174,203,177
9/29/21,978,212,181,207,178
9/30/21,980,212,180,206,177
10/1/21,980,212,1,1,34
10/2/21,980,45,0,1,110
10/3/21,982,134,176,205,116
10/4/21,984,141,177,205,125
10/5/21,986,151,178,205,177
10/6/21,988,212,181,67,0
10/7/21,988,147,41,45,157
10/8/21,990,189,76,84,137
10/14/21,990,2,0,1,0
10/15/21,990,2,0,8,143
10/16/21,992,208,177,203,176
10/17/21,994,211,180,207,151
10/18/21,996,181,180,207,155
10/19/21,998,187,181,207,179
10/20/21,1000,213,182,207,179
10/21/21,1002,213,181,208,178
10/22/21,1004,213,182,207,179
10/23/21,1006,213,182,207,179
10/24/21,1008,214,182,207,111
10/25/21,1010,136,180,207,179
10/26/21,1012,213,182,207,179
10/27/21,1014,214,182,207,179
10/28/21,1016,213,181,207,178
10/29/21,1018,214,182,207,179
10/30/21,1020,214,182,207,179
10/31/21,1022,213,182,200,89
11/1/21,1024,118,181,207,178
11/2/21,1026,214,181,208,179
11/3/21,1028,213,181,207,179
11/4/21,1030,214,181,207,179
11/5/21,1032,214,182,206,177
11/6/21,1034,211,177,205,178
11/10/21,1036,209,179,206,178
11/11/21,1038,211,179,206,177
11/12/21,1040,212,180,207,176
11/13/21,1042,207,179,207,180
11/14/21,1044,212,180,207,125
11/15/21,1046,149,178,206,177
11/16/21,1048,212,181,208,177
11/17/21,1050,213,181,208,178
11/18/21,1052,213,182,206,177
11/19/21,1054,213,181,206,178
11/20/21,1056,212,180,207,178
11/21/21,1058,213,181,208,123
11/22/21,1060,147,178,205,177
11/23/21,1062,209,178,205,177
11/24/21,1064,209,177,206,178
11/25/21,1066,210,178,204,177
11/26/21,1068,211,179,205,175
11/27/21,1070,211,180,206,178
11/28/21,1072,211,180,207,113
11/29/21,1074,136,179,205,177
11/30/21,1076,211,180,206,177
12/1/21,1078,210,178,205,177
12/2/21,1080,209,177,204,177
12/3/21,1082,210,178,205,177
12/4/21,1084,209,177,205,178
12/5/21,1086,210,178,205,134
12/6/21,1088,161,176,205,177
12/7/21,1090,211,179,204,176
12/8/21,1092,210,179,205,176
12/9/21,1094,211,180,206,177
12/10/21,1096,211,179,204,176
12/11/21,1098,211,179,205,176
12/12/21,1100,210,179,206,120
12/13/21,1102,144,173,199,176
12/14/21,1104,209,174,201,178
12/15/21,1106,210,178,205,176
12/16/21,1108,211,180,206,177
12/17/21,1110,210,176,202,176
12/18/21,1112,208,171,198,174
12/19/21,1114,207,172,199,115
12/20/21,1116,138,171,200,176
12/21/21,1118,209,178,204,175
12/22/21,1120,210,178,205,176
12/23/21,1122,209,177,205,177
12/24/21,1124,210,178,206,175
12/25/21,1126,207,171,196,171
12/26/21,1128,202,167,192,151
12/27/21,1130,183,165,191,169
12/28/21,1132,203,167,196,173
12/29/21,1134,206,169,197,174
12/30/21,1136,207,170,198,175
12/31/21,1138,205,170,198,175
1/1/22,1138,208,9,8,28
1/2/22,1140,36,164,194,173
1/3/22,1142,206,172,199,176
1/4/22,1144,207,173,200,177
1/5/22,1146,209,174,110,0
1/6/22,1146,2,0,64,149
1/8/22,1148,207,172,200,177
1/9/22,1150,209,175,203,118
1/10/22,1152,142,172,199,175
1/11/22,1154,207,172,197,174
1/12/22,1156,205,170,196,173
1/13/22,1158,206,170,195,172
1/14/22,1160,204,169,196,173
1/15/22,1162,197,164,148,169
1/16/22,1164,197,164,149,169
1/17/22,1166,198,164,149,171
1/18/22,1168,199,163,148,171
1/19/22,1170,198,164,148,171
1/20/22,1172,197,164,148,169
1/21/22,1174,194,163,151,170
1/22/22,1176,199,163,149,172
1/23/22,1178,199,164,147,170
1/24/22,1180,196,164,148,168
1/25/22,1182,195,163,150,169
1/26/22,1184,196,163,148,169
1/27/22,1186,195,163,149,72
1/28/22,1188,143,160,150,17
1/29/22,1188,13,129,37,0
1/31/22,1188,2,0,1,0
2/1/22,1188,2,0,2,1
2/2/22,1188,2,0,2,0
2/3/22,1190,3,145,146,163
2/4/22,1192,191,150,134,63
2/5/22,1194,65,154,146,63
2/6/22,1194,67,0,2,0
2/7/22,1194,2,57,22,146
2/8/22,1196,183,157,149,165
2/9/22,1198,193,163,150,168
2/10/22,1200,194,163,150,169
2/11/22,1202,196,164,149,169
2/12/22,1204,194,163,151,169
2/13/22,1206,198,163,148,169
2/14/22,1208,196,163,150,169
2/15/22,1210,196,163,148,168
2/16/22,1212,195,163,150,168
2/17/22,1214,194,163,150,166
2/18/22,1216,192,163,150,166
2/19/22,1218,192,163,149,165
2/20/22,1220,190,161,147,163
